Date Inserted	Reporting Date	Sale Month	Store	Artist	Title	ISRC	UPC	Quantity	Team Percentage	Song/Album	Country of Sale	Songwriter Royalties Withheld (USD)	Earnings (USD)	Recoup (USD)
2026-02-26	2026-02-26	2026-01	Apple Music	Kirbai	Power Whip (Tsareena Step)	QZFZ42608027	199934859904	27	100	Song	IE	0	0.32545875	0.00000000
2026-02-26	2026-02-26	2026-01	Apple Music	Kirbai	Power Whip (Tsareena Step)	QZFZ42608027	199934859904	95	100	Song	IT	0	1.56312414	0.00000000
2026-02-26	2026-02-26	2026-01	Apple Music	Kirbai	Power Whip (Tsareena Step)	QZFZ42608027	199934859904	6	100	Song	PT	0	0.02302461	0.00000000
2026-02-26	2026-02-26	2026-01	Apple Music	Kirbai	Power Whip (Tsareena Step)	QZFZ42608027	199934859904	233	100	Song	GB	0	2.92168500	0.00000000
2026-02-26	2026-02-26	2026-01	Apple Music	Kirbai	Power Whip (Tsareena Step)	QZFZ42608027	199934859904	6	100	Song	HK	0	0.03565982	0.00000000
2026-02-26	2026-02-26	2026-01	Apple Music	Kirbai	Power Whip (Tsareena Step)	QZFZ42608027	199934859904	209	100	Song	MX	0	0.65916677	0.00000000
2026-02-26	2026-02-26	2026-01	Apple Music	Kirbai	Power Whip (Tsareena Step)	QZFZ42608027	199934859904	4	100	Song	PE	0	0.00794924	0.00000000
2026-02-26	2026-02-26	2026-01	Apple Music	Kirbai	Power Whip (Tsareena Step)	QZFZ42608027	199934859904	3	100	Song	PH	0	0.00533875	0.00000000
2026-02-26	2026-02-26	2026-01	Apple Music	Kirbai	Power Whip (Tsareena Step)	QZFZ42608027	199934859904	6	100	Song	PL	0	0.02353678	0.00000000
2026-02-26	2026-02-26	2026-01	Apple Music	Kirbai	Power Whip (Tsareena Step)	QZFZ42608027	199934859904	1	100	Song	TH	0	0.00380712	0.00000000
2026-02-26	2026-02-26	2026-01	Apple Music	Kirbai	Power Whip (Tsareena Step)	QZFZ42608027	199934859904	14	100	Song	TW	0	0.06511396	0.00000000
2026-02-26	2026-02-26	2026-01	Apple Music	Kirbai	Power Whip (Tsareena Step)	QZFZ42608027	199934859904	1	100	Song	NI	0	0.00537483	0.00000000
2026-02-26	2026-02-26	2026-01	Apple Music	Kirbai	Power Whip (Tsareena Step)	QZFZ42608027	199934859904	24	100	Song	PA	0	0.07768269	0.00000000
2026-02-26	2026-02-26	2026-01	Apple Music	Kirbai	Power Whip (Tsareena Step)	QZFZ42608027	199934859904	9	100	Song	SV	0	0.01863149	0.00000000
2026-02-26	2026-02-26	2026-01	Apple Music	Kirbai	Power Whip (Tsareena Step)	QZFZ42608027	199934859904	2474	100	Song	US	0	16.92748940	0.00000000
2026-02-26	2026-02-26	2026-01	Apple Music	Kirbai	Power Whip (Tsareena Step)	QZFZ42608027	199934859904	12	100	Song	ZA	0	0.02249740	0.00000000
2026-02-26	2026-02-26	2026-01	Apple Music	Kirbai	Lovely Kiss (Jynx Anthem)	QT6HJ2550178	199934859904	16	100	Song	CH	0	0.11127854	0.00000000
2026-02-26	2026-02-26	2026-01	Apple Music	Kirbai	Lovely Kiss (Jynx Anthem)	QT6HJ2550178	199934859904	2	100	Song	CH	0	0.02736813	0.00000000
2026-02-26	2026-02-26	2026-01	Apple Music	Kirbai	Lovely Kiss (Jynx Anthem)	QT6HJ2550178	199934859904	5	100	Song	CL	0	0.01132384	0.00000000
2026-02-26	2026-02-26	2026-01	Apple Music	Kirbai	Lovely Kiss (Jynx Anthem)	QT6HJ2550178	199934859904	8	100	Song	CL	0	0.01241294	0.00000000
2026-02-26	2026-02-26	2026-01	Apple Music	Kirbai	Lovely Kiss (Jynx Anthem)	QT6HJ2550178	199934859904	14	100	Song	AT	0	0.18239625	0.00000000
2026-02-26	2026-02-26	2026-01	Apple Music	Kirbai	Lovely Kiss (Jynx Anthem)	QT6HJ2550178	199934859904	44	100	Song	DE	0	0.19627441	0.00000000
2026-02-26	2026-02-26	2026-01	Apple Music	Kirbai	Lovely Kiss (Jynx Anthem)	QT6HJ2550178	199934859904	29	100	Song	DE	0	0.26838142	0.00000000
2026-02-26	2026-02-26	2026-01	Apple Music	Kirbai	Lovely Kiss (Jynx Anthem)	QT6HJ2550178	199934859904	9	100	Song	ES	0	0.03595079	0.00000000
2026-02-26	2026-02-26	2026-01	Apple Music	Kirbai	Lovely Kiss (Jynx Anthem)	QT6HJ2550178	199934859904	7	100	Song	ES	0	0.05888972	0.00000000
2026-02-26	2026-02-26	2026-01	Apple Music	Kirbai	Lovely Kiss (Jynx Anthem)	QT6HJ2550178	199934859904	33	100	Song	FR	0	0.18699766	0.00000000
2026-02-26	2026-02-26	2026-01	Apple Music	Kirbai	Lovely Kiss (Jynx Anthem)	QT6HJ2550178	199934859904	3	100	Song	FR	0	0.01067713	0.00000000
2026-02-26	2026-02-26	2026-01	Apple Music	Kirbai	Lovely Kiss (Jynx Anthem)	QT6HJ2550178	199934859904	5	100	Song	IT	0	0.32336933	0.00000000
2026-02-26	2026-02-26	2026-01	Apple Music	Kirbai	Lovely Kiss (Jynx Anthem)	QT6HJ2550178	199934859904	6	100	Song	IT	0	0.04079635	0.00000000
2026-02-26	2026-02-26	2026-01	Apple Music	Kirbai	Lovely Kiss (Jynx Anthem)	QT6HJ2550178	199934859904	6	100	Song	PT	0	0.01791025	0.00000000
2026-02-26	2026-02-26	2026-01	Apple Music	Kirbai	Lovely Kiss (Jynx Anthem)	QT6HJ2550178	199934859904	345	100	Song	GB	0	4.25779884	0.00000000
2026-02-26	2026-02-26	2026-01	Apple Music	Kirbai	Lovely Kiss (Jynx Anthem)	QT6HJ2550178	199934859904	36	100	Song	GB	0	0.37394939	0.00000000
2026-02-26	2026-02-26	2026-01	Apple Music	Kirbai	Lovely Kiss (Jynx Anthem)	QT6HJ2550178	199934859904	1	100	Song	HU	0	0.00665578	0.00000000
2026-02-26	2026-02-26	2026-01	Apple Music	Kirbai	Lovely Kiss (Jynx Anthem)	QT6HJ2550178	199934859904	46	100	Song	MX	0	0.14799776	0.00000000
2026-02-26	2026-02-26	2026-01	Apple Music	Kirbai	Lovely Kiss (Jynx Anthem)	QT6HJ2550178	199934859904	170	100	Song	MX	0	0.52310944	0.00000000
2026-02-26	2026-02-26	2026-01	Apple Music	Kirbai	Lovely Kiss (Jynx Anthem)	QT6HJ2550178	199934859904	6	100	Song	MY	0	0.02857612	0.00000000
2026-02-26	2026-02-26	2026-01	Apple Music	Kirbai	Lovely Kiss (Jynx Anthem)	QT6HJ2550178	199934859904	1	100	Song	PE	0	0.00246089	0.00000000
2026-02-26	2026-02-26	2026-01	Apple Music	Kirbai	Lovely Kiss (Jynx Anthem)	QT6HJ2550178	199934859904	5	100	Song	PE	0	0.01041013	0.00000000
2026-02-26	2026-02-26	2026-01	Apple Music	Kirbai	Lovely Kiss (Jynx Anthem)	QT6HJ2550178	199934859904	2	100	Song	PH	0	0.00349686	0.00000000
2026-02-26	2026-02-26	2026-01	Apple Music	Kirbai	Lovely Kiss (Jynx Anthem)	QT6HJ2550178	199934859904	7	100	Song	PL	0	0.02745958	0.00000000
2026-02-26	2026-02-26	2026-01	Apple Music	Kirbai	Lovely Kiss (Jynx Anthem)	QT6HJ2550178	199934859904	1	100	Song	RU	0	0.00289579	0.00000000
2026-02-26	2026-02-26	2026-01	Apple Music	Kirbai	Lovely Kiss (Jynx Anthem)	QT6HJ2550178	199934859904	2	100	Song	TH	0	0.00761424	0.00000000
2026-02-26	2026-02-26	2026-01	Apple Music	Kirbai	Lovely Kiss (Jynx Anthem)	QT6HJ2550178	199934859904	3	100	Song	TW	0	0.00891837	0.00000000
